[2026-02-26T08:12:39.976Z] IP:::ffff:192.168.5.106 | GET / | Status:200 | Time:5ms | Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15
[2026-02-26T08:12:40.007Z] IP:::ffff:192.168.5.106 | GET /assets/index-BjIX4lfl.css | Status:200 | Time:1ms | Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15
[2026-02-26T08:12:40.009Z] IP:::ffff:192.168.5.106 | GET /assets/index-BOV5QOAc.js | Status:200 | Time:4ms | Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15
[2026-02-26T08:12:40.079Z] IP:::ffff:192.168.5.106 | GET /assets/inter-latin-400-normal-C38fXH4l.woff2 | Status:200 | Time:2ms | Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15
[2026-02-26T08:12:40.081Z] IP:::ffff:192.168.5.106 | GET /vite.svg | Status:200 | Time:1ms | Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15
[2026-02-26T08:12:41.097Z] IP:::ffff:192.168.5.106 | GET /api/data | Status:200 | Time:3ms | Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15
[2026-02-26T08:12:42.096Z] IP:::ffff:192.168.5.106 | GET /api/data | Status:304 | Time:2ms | Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15
[2026-02-26T08:12:42.976Z] IP:::ffff:192.168.5.106 | GET /apple-touch-icon-precomposed.png | Status:200 | Time:4ms | Agent:com.apple.WebKit.Networking/20621.3.11.11.3 Network/4277.140.33.701.1 macOS/15.7.3
[2026-02-26T08:12:42.979Z] IP:::ffff:192.168.5.106 | GET /apple-touch-icon.png | Status:200 | Time:4ms | Agent:com.apple.WebKit.Networking/20621.3.11.11.3 Network/4277.140.33.701.1 macOS/15.7.3
[2026-02-26T08:12:42.980Z] IP:::ffff:192.168.5.106 | GET /favicon.ico | Status:200 | Time:4ms | Agent:com.apple.WebKit.Networking/20621.3.11.11.3 Network/4277.140.33.701.1 macOS/15.7.3
[2026-02-26T08:12:42.980Z] IP:::ffff:192.168.5.106 | GET /vite.svg | Status:200 | Time:3ms | Agent:com.apple.WebKit.Networking/20621.3.11.11.3 Network/4277.140.33.701.1 macOS/15.7.3
[2026-02-26T08:12:43.092Z] IP:::ffff:192.168.5.106 | GET /api/data | Status:304 | Time:1ms | Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15
