Time,Status,Device_ID,Input_PPM,Output_PPM,Efficiency,Temp,Pressure
2/10/2026, 10:56:54 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:54 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:54 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:55 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:55 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:55 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:55 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:55 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:55 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:55 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:55 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:55 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:55 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:56 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:56 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:56 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:56 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:56 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:56 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:56 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:56 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:56 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:56 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:57 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:57 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:57 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:57 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:57 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:57 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:57 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:57 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:57 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:57 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:58 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:58 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:58 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:58 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:58 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:58 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:58 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:58 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:58 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:59 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:59 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:59 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:59 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:59 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:59 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:59 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:56:59 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:56:59 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:56:59 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:00 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:00 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:00 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:00 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:00 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:00 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:00 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:00 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:00 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:00 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:01 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:01 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:01 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:01 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:01 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:01 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:01 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:01 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:01 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:01 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:02 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:02 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:02 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:02 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:02 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:02 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:02 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:02 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:02 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:02 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:03 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:03 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:03 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:03 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:03 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:03 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:03 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:03 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:03 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:03 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:04 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:04 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:04 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:04 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:04 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:04 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:04 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:04 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:04 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:04 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:05 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:05 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:05 AM,warning,ABS-01,155000,31000,80,48.2,1.12
2/10/2026, 10:57:05 AM,operating,ABS-01,145000,14500,90,42.5,1.05
2/10/2026, 10:57:05 AM,operating,ABS-01,142000,13800,90.3,43.1,1.04
2/10/2026, 10:57:05 AM,warning,ABS-01,155000,31000,80,48.2,1.12
