Time, Status, Device_ID, Input_PPM, Output_PPM, Efficiency, Flow_Rate, Temp, Pressure, Energy_Cons, Runtime
2/23/2026, 2:34:22 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:23 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/23/2026, 2:34:23 PM,warning,ABS-01,155000,31000,80,2600,48.2,1.12,0.45,3602
2/23/2026, 2:34:23 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:23 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/23/2026, 2:34:23 PM,warning,ABS-01,155000,31000,80,2600,48.2,1.12,0.45,3602
2/23/2026, 2:34:23 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:23 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/23/2026, 2:34:23 PM,warning,ABS-01,155000,31000,80,2600,48.2,1.12,0.45,3602
2/23/2026, 2:34:23 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:23 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/23/2026, 2:34:24 PM,warning,ABS-01,155000,31000,80,2600,48.2,1.12,0.45,3602
2/23/2026, 2:34:24 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:24 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/23/2026, 2:34:24 PM,warning,ABS-01,155000,31000,80,2600,48.2,1.12,0.45,3602
2/23/2026, 2:34:24 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:24 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/23/2026, 2:34:24 PM,warning,ABS-01,155000,31000,80,2600,48.2,1.12,0.45,3602
2/23/2026, 2:34:24 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:24 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/23/2026, 2:34:24 PM,warning,ABS-01,155000,31000,80,2600,48.2,1.12,0.45,3602
2/23/2026, 2:34:25 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:25 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/23/2026, 2:34:25 PM,warning,ABS-01,155000,31000,80,2600,48.2,1.12,0.45,3602
2/23/2026, 2:34:25 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:25 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/23/2026, 2:34:25 PM,warning,ABS-01,155000,31000,80,2600,48.2,1.12,0.45,3602
2/23/2026, 2:34:25 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:25 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
2/23/2026, 2:34:25 PM,warning,ABS-01,155000,31000,80,2600,48.2,1.12,0.45,3602
2/23/2026, 2:34:26 PM,operating,ABS-01,145000,14500,90,2500.5,42.5,1.05,0.32,3600
2/23/2026, 2:34:26 PM,operating,ABS-01,142000,13800,90.3,2480.2,43.1,1.04,0.31,3601
